,Code,lng,lat
0,AFG,66.08669017344639,33.85639924331851
1,AGO,17.470572472744323,-12.245868967981588
2,ALB,20.03242638605213,41.14135336776871
3,ARE,54.20671462253365,23.86863351514742
4,ARG,-65.1753606596912,-35.44682138709455
5,ARM,45.0002902364525,40.21660746331794
6,ATA,30.028836721266213,-77.32786014887495
7,ATF,69.53158047042368,-49.30645491167198
8,AUS,134.50277546065476,-25.73065474488304
9,AUT,14.076158737088777,47.61394873674072
10,AZE,47.553909627631946,40.22069070796514
11,BDI,29.91390108115306,-3.377391780507063
12,BEL,4.580831170355562,50.652442788532966
13,BEN,2.3373776582836743,9.647430604325601
14,BFA,-1.7765373932154904,12.311650411193026
15,BGD,90.26792836633709,23.839461928066164
16,BGR,25.19511089646029,42.753118773003436
17,BHS,-77.92997080393516,25.515491725336627
18,BIH,17.816883262474374,44.18076800389074
19,BLR,27.9813540194957,53.5063443528151
20,BLZ,-88.70342126984333,17.19708979519939
21,BMU,-64.7596428319067,32.31249269890271
22,BOL,-64.64140560988855,-16.72898694975875
23,BRA,-53.054339956839804,-10.806773681852473
24,BRN,114.9151088130699,4.690250696299431
25,BTN,90.47242488617393,27.427968650300976
26,BWA,23.773081475874147,-22.099711410350604
27,CAF,20.3743469839373,6.542778839030211
28,CAN,-98.1423812181964,61.46907618621389
29,CHE,8.118300753356499,46.791737781866615
30,CHL,-71.52064384269416,-39.04701418752338
31,CHN,103.88361620775106,36.55506850593304
32,CIV,-5.6120436791882335,7.553755039532442
33,CMR,12.611552456953563,5.663098262285096
34,COD,23.582955887560278,-2.85027562333238
35,COG,15.134461756195169,-0.8378009737534027
36,COL,-73.07773203253647,3.9272138479203975
37,CRI,-84.17542316107479,9.965671026982957
38,CUB,-78.9606848744816,21.631751486104132
39,-99,33.55828628437734,35.273957762212014
40,CYP,33.039553870938605,34.90706080017096
41,CZE,15.33455826159284,49.775245261027486
42,DEU,10.288485064046565,51.133722711258805
43,DJI,42.498019696806395,11.773044433321944
44,DNK,9.87637282636348,56.063934567763965
45,DOM,-70.46235846504965,18.88448706027165
46,DZA,2.598047814474601,28.185481292453204
47,ECU,-78.38416672242975,-1.4547717410770844
48,EGY,29.844461516983504,26.50661999740764
49,ERI,38.678177332848904,15.427275615053311
50,ESP,-3.617020675956449,40.348656154214375
51,EST,25.824728223109098,58.643695211078615
52,ETH,39.55125579592934,8.653999193325815
53,FIN,26.211764688890245,64.50409386705032
54,FJI,163.85314668803488,-17.31630917486496
55,FLK,-59.420972793110195,-51.71322176551184
56,FRA,2.446568757427332,46.53596201017112
57,GAB,11.687751178626524,-0.6470482175701116
58,GBR,-2.8531355495938624,53.914773538359306
59,GEO,43.48154010544418,42.16201894135138
60,GHA,-1.2369684817190991,7.928651850055787
61,GIN,-11.060853680804723,10.448272958512803
62,GMB,-15.431873125070858,13.475334412500354
63,GNB,-15.110623891988213,12.022704479025894
64,GNQ,10.366031310571556,1.6458644272354876
65,GRC,22.719813459686637,39.06671600519395
66,GRL,-41.50018111432645,74.77048769413572
67,GTM,-90.36945850600854,15.699360539402393
68,GUF,-53.23850610465858,3.9059336791597485
69,GUY,-58.97120312374411,4.7902253586691765
70,HND,-86.58996381210828,14.82294706719595
71,HRV,16.56619110394417,45.01623410277826
72,HTI,-72.65801345517245,18.90070095173123
73,HUN,19.357628548023534,47.19995119508128
74,IDN,117.42340794351826,-2.221738041335868
75,IND,79.59370366438509,22.925006300070315
76,IRL,-8.01023680654156,53.18059108949045
77,IRN,54.285451492991996,32.518917306489975
78,IRQ,43.75691146416444,33.03682253689666
79,ISL,-18.761028817121847,65.07427634281433
80,ISR,35.0038499626741,31.484917756757323
81,ITA,12.140788356331674,42.75118276365151
82,JAM,-77.324254740848,18.137635986094782
83,JOR,36.779454988821506,31.245490666265262
84,JPN,138.06496186793873,37.663110587432655
85,KAZ,67.28460878718074,48.191662125259384
86,KEN,37.79155523764564,0.5959662917718914
87,KGZ,74.62040463206557,41.50689357007609
88,KHM,104.87608521320288,12.684728701098114
89,KOR,127.82131716620974,36.42759872225709
90,CS-KM,20.895352499812947,42.579364814805224
91,KWT,47.60009862494607,29.30726673529533
92,LAO,103.75025970028895,18.444978189083884
93,LBN,35.87098639945554,33.911827121169445
94,LBR,-9.410836102614711,6.431619946346841
95,LBY,17.974352720239533,26.997460440963433
96,LKA,80.66723578775108,7.700534337706256
97,LSO,28.17010529109305,-29.625290677812963
98,LTU,23.88064036129675,55.284319424545075
99,LUX,5.965223241738826,49.76570531731527
100,LVA,24.833295923942458,56.80717516493736
101,MAR,-8.42047971881785,29.885394456203414
102,MDA,28.410482745436717,47.20367646591227
103,MDG,46.691170818879264,-19.356114029038594
104,MEX,-102.5763495126284,23.935371917330773
105,MKD,21.69789690466625,41.605929024780856
106,MLI,-3.543294472195163,17.267772216375366
107,MLT,14.405220349501239,35.92151327679818
108,MMR,96.50584091100943,21.01699982503081
109,MNE,19.286181019707648,42.78903831354488
110,MNG,102.94640494589302,46.823682495246146
111,MOZ,35.47261706364551,-17.230446649442374
112,MRT,-10.326397038820698,20.209267212839432
113,MWI,34.19360519275309,-13.172832818433942
114,MYS,109.69814849304868,3.7255883777921546
115,NAM,17.156168162687653,-22.099776973240573
116,NCL,165.53447404749988,-21.261357478271123
117,NER,9.32442940354474,17.34555236127209
118,NGA,7.995127765434098,9.54831838084792
119,NIC,-85.02031834631018,12.848190416553471
120,NLD,5.5122172571181105,52.298700259566616
121,NOR,15.46812583944915,69.156856034733
122,NPL,84.01317380021769,28.23944004709294
