"season","driver","car","track","direction","grand_prix","date","position","player_name","player_time","points","screenshot_link"
"2021_gp1","toshiro","furious","heated_highway","normal","racing_elite",2021-02-21,5,"bigpod","02:33:984",8,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-heated_highway-normal/2021_gp1-2021-02-21-racing_elite-heated_highway-normal.png"
"2021_gp1","toshiro","furious","heated_highway","normal","racing_elite",2021-02-21,6,"TwoD","02:34:435",7,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-heated_highway-normal/2021_gp1-2021-02-21-racing_elite-heated_highway-normal.png"
"2021_gp1","toshiro","furious","heated_highway","normal","racing_elite",2021-02-21,7,"madhens","DNF",0,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-heated_highway-normal/2021_gp1-2021-02-21-racing_elite-heated_highway-normal.png"
"2021_gp1","toshiro","furious","alpine_town","normal","racing_elite",2021-02-21,1,"FrenchguyCH","03:12:285",12,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-alpine_town-normal/2021_gp1-2021-02-21-racing_elite-alpine_town-normal.png"
"2021_gp1","toshiro","furious","alpine_town","normal","racing_elite",2021-02-21,2,"bigcalm","03:12:532",11,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-alpine_town-normal/2021_gp1-2021-02-21-racing_elite-alpine_town-normal.png"
"2021_gp1","toshiro","furious","alpine_town","normal","racing_elite",2021-02-21,3,"TwoD","03:12:569",10,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-alpine_town-normal/2021_gp1-2021-02-21-racing_elite-alpine_town-normal.png"
"2021_gp1","toshiro","furious","alpine_town","normal","racing_elite",2021-02-21,4,"Wimpy","03:13:301",9,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-alpine_town-normal/2021_gp1-2021-02-21-racing_elite-alpine_town-normal.png"
"2021_gp1","toshiro","furious","alpine_town","normal","racing_elite",2021-02-21,5,"madhens","03:17:459",8,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-alpine_town-normal/2021_gp1-2021-02-21-racing_elite-alpine_town-normal.png"
"2021_gp1","toshiro","furious","alpine_town","normal","racing_elite",2021-02-21,6,"rpodcast"," 03:18:899",7,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-alpine_town-normal/2021_gp1-2021-02-21-racing_elite-alpine_town-normal.png"
"2021_gp1","toshiro","furious","alpine_town","normal","racing_elite",2021-02-21,7,"bigpod","03:35:534",6,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-alpine_town-normal/2021_gp1-2021-02-21-racing_elite-alpine_town-normal.png"
