Genes	M1A	M1B	A1A	A1B	V1A	V1B	M6A	M6B	A6A	A6B	V6A	V6B	M12A	M12B	A12A	A12B	V12A	V12B
ATCG00420	7	97	18	147	26	63	7	11	4	6	11	18	12	8	2	21	8	0
ATCG00430	21	312	45	347	36	112	8	9	10	4	14	23	30	23	6	11	19	8
ATCG00440	12	44	12	34	24	15	2	1	4	0	6	4	2	1	3	0	3	1
ATCG00470	54	339	92	423	102	347	19	30	22	12	29	52	63	65	25	17	37	19
ATCG00480	180	1191	369	1501	403	984	73	163	93	54	110	345	270	346	82	84	140	116
ATCG00490	856	1029	793	871	977	1161	592	681	475	749	446	493	445	377	429	662	440	529
ATCG00500	8	13	4	10	2	10	0	2	4	6	2	0	2	0	2	2	2	4
ATCG00510	10	1	5	1	15	2	2	1	0	1	4	4	0	0	0	2	2	0
ATMG00010	2	0	0	7	2	3	1	0	0	0	3	0	0	0	0	1	0	0
ATMG00030	60	40	79	35	43	35	89	35	117	30	101	43	64	75	114	23	66	46
ATMG00040	11	56	38	50	45	39	19	37	31	4	56	88	6	49	23	15	10	18
ATMG00050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATMG00060	0	3	4	3	2	7	2	4	5	0	5	8	1	2	5	2	7	3
ATMG00070	8	18	5	47	19	21	4	9	1	0	10	25	9	20	6	9	7	3
ATMG00080	7	18	20	31	16	19	8	4	5	2	9	18	18	16	4	3	5	4
ATMG00090	5	72	30	120	25	41	11	9	12	3	20	39	6	23	10	1	13	5
ATMG00110	6	27	7	34	13	15	5	3	7	1	14	14	7	25	2	3	7	6
ATMG00120	3	0	0	14	0	1	0	0	2	0	0	4	0	1	0	1	0	0
ATMG00130	1	4	0	1	1	3	1	1	1	0	1	11	0	5	4	1	3	0
ATMG00140	0	7	0	5	2	2	0	2	3	0	1	4	5	7	0	0	6	2
ATMG00150	0	1	0	0	3	1	0	0	0	0	0	0	1	0	0	0	1	2
ATMG00160	5	31	25	72	26	46	8	16	19	2	36	54	21	29	16	5	16	12
ATMG00170	3	15	5	17	14	13	6	8	9	0	9	20	7	10	6	0	0	2
ATMG00180	18	59	44	62	24	58	27	26	33	7	44	53	25	26	17	8	28	10
ATMG00200	0	3	1	4	1	3	2	2	0	0	2	2	1	0	0	0	2	0
