GSPC.Open,GSPC.High,GSPC.Low,GSPC.Close,GSPC.Volume,GSPC.Adjusted,date
1418.030029,1429.420044,1407.859985,1416.599976,3429160000,1416.599976,2007-01-03
1416.599976,1421.839966,1408.430054,1418.339966,3004460000,1418.339966,2007-01-04
1418.339966,1418.339966,1405.75,1409.709961,2919400000,1409.709961,2007-01-05
1409.26001,1414.97998,1403.969971,1412.839966,2763340000,1412.839966,2007-01-08
1412.839966,1415.609985,1405.420044,1412.109985,3038380000,1412.109985,2007-01-09
1408.699951,1415.98999,1405.319946,1414.849976,2764660000,1414.849976,2007-01-10
1414.839966,1427.119995,1414.839966,1423.819946,2857870000,1423.819946,2007-01-11
1423.819946,1431.22998,1422.579956,1430.72998,2686480000,1430.72998,2007-01-12
1430.72998,1433.930054,1428.619995,1431.900024,2599530000,1431.900024,2007-01-16
1431.77002,1435.27002,1428.569946,1430.619995,2690270000,1430.619995,2007-01-17
1430.589966,1432.959961,1424.209961,1426.369995,2822430000,1426.369995,2007-01-18
1426.349976,1431.569946,1425.189941,1430.5,2777480000,1430.5,2007-01-19
1430.469971,1431.390015,1420.400024,1422.949951,2540120000,1422.949951,2007-01-22
1422.949951,1431.329956,1421.660034,1427.98999,2975070000,1427.98999,2007-01-23
1427.959961,1440.140015,1427.959961,1440.130005,2783180000,1440.130005,2007-01-24
1440.119995,1440.689941,1422.339966,1423.900024,2994330000,1423.900024,2007-01-25
1423.900024,1427.27002,1416.959961,1422.180054,2626620000,1422.180054,2007-01-26
1422.030029,1426.939941,1418.459961,1420.619995,2730480000,1420.619995,2007-01-29
1420.609985,1428.819946,1420.609985,1428.819946,2706250000,1428.819946,2007-01-30
1428.650024,1441.609985,1424.780029,1438.23999,2976690000,1438.23999,2007-01-31
1437.900024,1446.640015,1437.900024,1445.939941,2914890000,1445.939941,2007-02-01
1445.939941,1449.329956,1444.48999,1448.390015,2569450000,1448.390015,2007-02-02
1448.329956,1449.380005,1443.849976,1446.98999,2439430000,1446.98999,2007-02-05
1446.97998,1450.189941,1443.400024,1448,2608710000,1448,2007-02-06
1447.410034,1452.98999,1446.439941,1450.02002,2618820000,1450.02002,2007-02-07
1449.98999,1450.449951,1442.810059,1448.310059,2816180000,1448.310059,2007-02-08
1448.25,1452.449951,1433.439941,1438.060059,2951810000,1438.060059,2007-02-09
1438,1439.109985,1431.439941,1433.369995,2395680000,1433.369995,2007-02-12
1433.219971,1444.410034,1433.219971,1444.26001,2652150000,1444.26001,2007-02-13
1443.910034,1457.650024,1443.910034,1455.300049,2699290000,1455.300049,2007-02-14
1455.150024,1457.969971,1453.189941,1456.810059,2490920000,1456.810059,2007-02-15
1456.77002,1456.77002,1451.569946,1455.540039,2399450000,1455.540039,2007-02-16
